,단어,빈도
712,경로,192
713,거,192
714,고,192
715,가구,192
716,인천,192
717,특수,192
718,나무,191
719,인원,191
720,표,191
721,정의,191
722,아동,190
723,통행,190
724,정정,190
725,확정,190
726,품질,190
727,주의,190
728,장비,190
729,종,189
730,이수,188
731,주소지,187
732,입영,187
733,소재,186
734,공고,186
735,적,186
736,자동,185
737,요즘,185
738,매우,185
739,부모님,185
740,교통,185
741,위생,185
742,사건,185
743,미만,184
744,사무소,184
745,물질,184
746,농약,184
747,게,184
748,미국,184
749,부대,184
750,판정,184
751,기구,183
752,통보,183
753,면,182
754,사전,182
755,체결,182
756,량,182
757,신청서,182
758,국립,182
759,장애,180
760,부터,180
761,면적,180
762,책임,180
763,이내,180
764,개설,179
765,중앙,179
766,출입,179
767,행사,179
768,광주,179
769,학위,179
770,지자체,178
771,기계,178
772,청년,178
773,발행,178
774,상환,178
775,단,177
776,제안,177
777,구청,177
778,충전,176
779,수도,176
780,사설,176
781,출산,176
782,시점,176
783,체험,176
784,과학기술,176
785,특성,175
786,기타,175
787,번호판,175
788,하니,175
789,타,174
790,갱신,174
791,교육비,174
792,연가,174
793,여러,173
794,줄,173
795,만료,173
796,지방세,173
797,발주,173
798,폐교,173
799,그냥,172
800,재난,172
801,계약서,172
802,영어,172
803,계산서,172
804,정상,171
805,단계,171
806,사이트,171
807,공장,171
808,선발,171
809,제대로,170
810,편성,170
811,소유자,170
812,명세서,170
813,부여,170
814,자의,170
815,부산,170
816,간이,170
817,대표자,169
818,돈,169
819,주말,168
820,파손,168
821,횡단보도,168
822,시장,168
823,분할,168
824,실적,168
825,가게,167
826,직업,167
827,직무,167
828,학자금대출,167
829,지난,166
830,재학,166
831,책,165
832,별로,165
833,할인,165
834,공인,165
835,보장,164
836,전혀,164
837,마음,164
838,차선,164
839,미성년,164
840,부모,164
841,전송,164
842,원료,164
843,지도,163
844,이용자,163
845,두,163
846,수용,163
847,제작,163
848,대리점,163
849,봉사활동,163
850,무슨,162
851,대형,162
852,해역,162
853,정말,161
854,데,161
855,야간,161
856,불,161
857,통지,161
858,동시,161
859,규격,161
860,재직,161
861,신문고,160
862,근처,160
863,면허증,160
864,보건,160
865,대구,160
866,정지,159
867,무,159
868,흡연,159
869,대행,159
870,철거,158
871,대체,158
872,유통,158
873,형태,158
874,등급,157
875,수정,157
876,교체,157
877,로부터,156
878,원금,156
879,채,156
880,소리,156
881,유입,156
882,우수,156
883,달라,156
884,사정,156
885,관내,156
886,로서,156
887,뒤,155
888,문,155
889,분양,155
890,대금,155
891,고용,155
892,리,154
893,감,154
894,화장실,153
895,장치,153
896,국,153
897,간,153
898,출입국,153
899,국유재산,153
900,개별,152
901,방해,152
902,제거,152
903,확대,152
904,통지서,152
905,고지,152
906,선생님,152
907,유예,152
908,비율,152
909,일시,151
910,소비자,151
911,매립,151
912,레저,151
913,원인,151
914,반영,151
915,대리인,151
916,구간,150
917,대한민국,150
918,남편,150
919,지구,149
920,보조,149
921,생,149
922,필수,149
923,자금,149
924,업종,149
925,과외,149
926,교육과정,149
927,통화,148
928,지원이,148
929,불구,148
930,통장,148
931,협력,148
932,검정고시,148
933,병가,148
934,착용,147
935,종사,147
936,휴업,147
937,대학교,147
938,대리,147
939,여기,147
940,선임,147
941,생물,147
942,가산,147
943,보조금,146
944,검색,146
945,명령,146
946,우려,145
947,범죄,145
948,마련,145
949,설정,145
950,배치,145
951,혁신,145
952,총,145
953,하도급,145
954,실습,145
955,사학,144
956,조금,143
957,공익,143
958,매입,143
959,소지,143
960,신분증,143
961,귀국,143
962,입금,143
963,지속,142
964,투기,142
965,무상,142
966,체납,142
967,일이,141
968,부부,141
969,명시,141
970,시정,141
971,보안,141
972,조례,141
973,수강,141
974,민간,141
975,물건,140
976,사이,140
977,행정처분,140
978,무인,140
979,공정,140
980,라면,140
981,경쟁,140
982,원산지,140
983,전국,139
984,초본,139
985,자치,139
986,차이점,139
987,식당,138
988,신설,138
989,금융,138
990,관광,137
991,유공,137
992,이란,137
993,유형,137
994,중등,137
995,홈택스,137
996,공공기관,136
997,예약,136
998,분류,136
999,수출,136
1000,노인,135
1001,전환,135
1002,상세,135
1003,증빙,135
1004,뭔가,135
1005,가해,135
1006,확보,134
1007,상속,134
1008,식,134
1009,성적,134
1010,고지서,134
1011,경찰,134
1012,합산,134
1013,참가,134
1014,각종,133
1015,저장,133
1016,소개,133
1017,직장,133
1018,격리,133
1019,가스,133
1020,택시,133
1021,방,133
1022,보도,133
1023,능력,133
1024,전공,133
1025,부지,132
1026,자주,132
1027,입장,132
1028,개명,132
1029,발송,132
1030,대신,132
1031,행정심판,132
1032,집단,132
1033,상의,131
1034,오토바이,131
1035,역할,131
1036,기금,131
1037,화물,131
1038,오염,131
1039,교도소,131
1040,소집,131
1041,어항,131
1042,조성,130
1043,점용,130
1044,수집,130
1045,명칭,130
1046,배포,130
1047,홍보,130
1048,교육지원청,130
1049,태양광,129
1050,진입,129
1051,땅,129
1052,내년,129
1053,불이익,129
1054,친구,129
1055,임대차,129
1056,품종,129
1057,잎,129
1058,당사,128
1059,어린이집,128
1060,폐수,128
1061,영상,128
1062,항상,128
1063,매출,128
1064,동일,128
1065,개방,127
1066,사료,127
1067,규모,127
1068,전문,127
1069,유학,127
1070,전주시,127
1071,복직,127
1072,사립,127
1073,아버지,126
1074,오늘,126
1075,훼손,126
1076,준수,126
1077,임차,126
1078,피,126
1079,학,126
1080,강화,126
1081,참고,125
1082,동물,125
1083,구조,125
1084,부가가치세,125
1085,발견,124
1086,폐지,124
1087,등본,124
1088,청소,124
1089,제보,124
1090,부착,124
1091,매일,124
1092,투자,124
1093,사안,124
1094,가장,123
1095,신호등,123
1096,침해,123
1097,별표,123
1098,등교,123
1099,인사,123
1100,학적,123
1101,시도,122
1102,처리기,122
1103,일수,122
1104,편입,121
1105,미세먼지,121
1106,신축,121
1107,배,121
1108,임기,121
1109,사례,121
1110,경비,121
1111,먼저,121
1112,도입,121
1113,누락,121
1114,중국,121
1115,감독,120
1116,종료,120
1117,그대로,120
1118,차로,120
1119,방제,120
1120,집행,120
1121,영수증,120
1122,승계,120
1123,가로등,119
1124,잘못,119
1125,향후,119
1126,국외,119
1127,대기,119
1128,평생교육,119
1129,의약품,119
1130,원,119
1131,인증서,119
1132,연안,119
1133,납품,119
1134,특수교육,119
1135,카페,118
1136,음,118
1137,긴급,118
1138,에너지,118
1139,의결,118
1140,아들,118
1141,재해,118
1142,집합,117
1143,고장,117
1144,표준,117
1145,강제,117
1146,위임,117
1147,주요,117
1148,탈세,117
1149,아침,116
1150,주거,116
1151,중단,116
1152,매매,116
1153,감리,116
1154,소방,116
1155,반납,116
1156,자신,116
1157,대여,116
1158,차단,116
1159,교직원,116
1160,유해,115
1161,경제,115
1162,수상,115
1163,해상,115
1164,보증,115
1165,내야,115
1166,지위,115
1167,사과,115
1168,기반,115
1169,징계,115
1170,채널,115
1171,학비,115
1172,면세,115
1173,어머니,114
1174,번지,114
1175,이의신청,114
1176,냄새,114
1177,농지,114
1178,납세,114
1179,호의,114
1180,신용카드,114
1181,변,113
1182,진료,113
1183,통한,113
1184,가공,113
1185,사장,113
1186,거주지,113
1187,지인,113
1188,미리,113
1189,동네,112
1190,주체,112
1191,중간,112
1192,득,112
1193,어려움,112
1194,년도,112
1195,승진,112
1196,일자리,111
1197,격,111
1198,재활용,111
1199,자리,111
1200,환경보호,111
1201,상금,111
1202,장,111
1203,서로,111
1204,한지,110
1205,스마트,110
1206,서명,110
1207,최소,110
1208,오후,110
1209,해석,110
1210,방학,110
1211,진흥,110
1212,걱정,109
1213,적극,109
1214,강의,109
1215,법무부,109
1216,회신,108
1217,대응,108
1218,의심,108
1219,양도소득세,108
1220,초등,108
1221,부근,107
1222,이제,107
1223,사거리,107
1224,재료,107
1225,조항,107
1226,월세,107
1227,자로,107
1228,과제,107
1229,정원,107
1230,이메일,107
1231,학급,107
1232,낚시,106
1233,공립,106
1234,부정,106
1235,호봉,106
1236,바다,106
1237,충족,106
1238,교과,106
1239,접종,105
1240,파일,105
1241,입구,105
1242,성인,105
1243,중복,105
1244,주기,105
1245,연결,105
1246,반환,105
1247,전부,105
1248,통학,105
1249,자기,104
1250,재산세,104
1251,삭제,104
1252,연락처,104
1253,출석,104
1254,학부,104
1255,데이터,104
1256,승선,104
1257,비료,103
1258,대부분,103
1259,생계,103
1260,임시,103
1261,소형,103
1262,중개업,103
1263,이자,103
1264,성명,103
1265,순위,103
1266,정리,102
1267,매년,102
1268,포,102
1269,품,102
1270,관심,102
1271,참석,102
1272,협동조합,102
1273,학력,102
1274,교원자격검정,102
1275,의거,101
1276,기기,101
1277,원부,101
1278,채취,101
1279,내부,101
1280,임원,101
1281,포기,101
1282,최대,100
1283,산출,100
1284,수신료,100
1285,은행,100
1286,추천,100
1287,나라,100
1288,표현,100
1289,항의,100
1290,취하,100
1291,국세청,100
1292,방송광고,100
1293,편의,99
1294,주유소,99
1295,상기,99
1296,여성,99
1297,이혼,99
1298,해제,99
1299,농업,99
1300,경찰서,99
1301,대구광역시,99
1302,다수,98
1303,현상,98
1304,제재,98
1305,게시,98
1306,조달,98
1307,문구,98
1308,노력,98
1309,발령,98
1310,날짜,98
1311,문서,98
1312,사무실,98
1313,의사,98
1314,비영리,98
1315,핸드폰,98
1316,매뉴얼,98
1317,류,97
1318,따라서,97
1319,무조건,97
1320,증여,97
1321,표지판,97
1322,보아,97
1323,전력,97
1324,최종,97
1325,뿐,96
1326,포획,96
1327,치,96
1328,밖,96
1329,의뢰,96
1330,교복,96
1331,학과,96
1332,학점,96
1333,부가세,96
1334,안성,96
1335,학술,96
1336,반,95
1337,당일,95
1338,하천,95
1339,최초,95
1340,혼인신고,95
1341,말씀,95
1342,휴대전화,95
1343,안성시,95
1344,약정,95
1345,수산청,95
1346,취득세,94
1347,거의,94
1348,유,94
1349,경기,94
1350,주자,94
1351,수준,94
1352,소요,94
1353,위약금,94
1354,임신,94
1355,맞춤,93
1356,첨부파일,93
1357,악취,93
1358,가맹,93
1359,인감,93
1360,보행자,93
1361,경과,93
1362,매장,93
1363,재개발,93
1364,복합,93
1365,원장,93
1366,교차로,92
1367,속도,92
1368,모,92
1369,놀이,92
1370,전달,92
1371,관해,92
1372,귀속,92
1373,신체검사,92
1374,문제점,91
1375,물이,91
1376,사다리,91
1377,제시,91
1378,이야기,91
1379,관람,91
1380,전화번호,91
1381,타인,91
1382,허위,91
1383,성분,91
1384,음식물,90
1385,오전,90
1386,망,90
1387,속,90
1388,예술,90
1389,임대료,90
1390,금은,90
1391,효과,90
1392,뜻,90
1393,연구소,90
1394,하자,89
1395,며칠,89
1396,소유권,89
1397,보험료,89
1398,군인,89
1399,미디어,89
1400,피해자,89
1401,대구시,89
1402,학교장,89
1403,등대,89
1404,안전교육,88
1405,오피스텔,88
1406,작물,88
1407,권리,88
1408,확,88
1409,가야,88
1410,운전자,88
1411,행정기관,88
1412,고추,88
1413,로그인,88
1414,육군,88
1415,저녁,87
1416,폐,87
1417,실태,87
1418,는걸,87
1419,미착,87
1420,대학생,87
1421,음식,87
1422,변동,87
1423,증가,87
1424,규약,87
1425,증상,87
1426,예외,87
1427,상호,87
1428,보,87
1429,현역,87
1430,과학,87
1431,수립,87
1432,인문,87
1433,특기,87
1434,국가장학금,87
1435,예방접종,86
1436,이면,86
1437,길이,86
1438,대비,86
1439,물류,86
1440,보완,86
1441,구성원,86
1442,톤,86
1443,수익,86
1444,마트,86
1445,법규,86
1446,미납,86
1447,장관,86
1448,농사,86
1449,교통사고,85
1450,대가,85
1451,선거,85
1452,용량,85
1453,영문,85
